timestamp,session_id,stage,direction,event_name,raw_hex,crc_valid,payload_summary,prediction,confidence,weight_grams,sensors_json,note
2026-04-03T00:27:32+02:00,,connected,STATE,connection_established,,,,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",COM11
2026-04-03T00:27:42+02:00,,connected,TX,PING,aa 01 00 3e 2e,,(none),,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:42+02:00,,connected,RX,ACK,aa a0 02 4f 4b 8b e4,1,4f 4b,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:52+02:00,,connected,TX,PING,aa 01 00 3e 2e,,(none),,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:52+02:00,,connected,RX,ACK,aa a0 02 4f 4b 8b e4,1,4f 4b,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:53+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,STATE,session_started,,,,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:53+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,STATE,basket_precheck_started,,,,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:53+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,TX,READ_SENSOR,aa 11 01 08 f6 0a,,BASKET_1,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:53+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,TX,READ_SENSOR,aa 11 01 09 d7 1a,,BASKET_2,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:54+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,TX,READ_SENSOR,aa 11 01 0a b4 2a,,BASKET_3,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:54+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,RX,DATA,aa a2 02 08 00 17 64,1,08 00,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:54+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,RX,DATA,aa a2 02 09 00 26 57,1,09 00,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
2026-04-03T00:27:54+02:00,1c34cd359e334134b88cda535aa81310,basket_precheck,RX,DATA,aa a2 02 0a 00 75 02,1,0a 00,,,,"{""basket_1"": 0, ""basket_2"": 0, ""basket_3"": 0, ""drop_sensor"": 0, ""exit_gate"": 0, ""gate_alarm"": 0, ""gate_closed"": 0, ""gate_opened"": 0}",
